 51846   78.5240416667      78.5240550  -40.0485833333     -40.0485697     .0011  3149.133  2866.046    18.999     .2250      .276     .2256    18.723     .0170   19.038   18.680
 63125   78.5072916667      78.5072782  -40.0526388889     -40.0526044     .0021  4073.731  2575.436    15.392     .0016      .779     .0023    14.613     .0017   15.616   14.575
 52178   78.5238950000      78.5238020  -40.0506300000     -40.0507067     .0063  3163.073  2712.190    21.424     .0950      .483     .1570    20.941     .1250   21.536   20.898
 48577   78.5273100000      78.5273124  -40.0576300000     -40.0575863     .0025  2969.596  2216.858    24.111     .1050     1.153     .1050    22.958     .0030   24.451   22.931
123605   78.5435833333      78.5435722  -40.0324166667     -40.0323684     .0030  2073.210  4032.456    18.805     .0070      .548     .0073    18.257     .0020   18.944   18.215
101749   78.5212916667      78.5213019  -40.0384444444     -40.0384188     .0016  3300.910  3596.906    15.996     .0021      .628     .0032    15.368     .0024   16.166   15.327
130178   78.5274583333      78.5274901  -40.0309722222     -40.0309564     .0017  2959.793  4134.214    18.673     .0017      .625     .0035    18.048     .0030   18.841   18.007
  9572   78.5369670000      78.5370560  -40.0613300000     -40.0614398     .0078  2432.677  1939.373    22.648     .0070      .848     .0157    21.800     .0140   22.896   21.763
137613   78.5097083333      78.5097104  -40.0312777778     -40.0312653     .0008  3939.979  4111.876    15.573     .0018      .777     .0026    14.796     .0019   15.796   14.758
 32437   78.5477916667      78.5477375  -40.0587500000     -40.0587656     .0027  1844.028  2131.815    19.183     .0060      .473     .0061    18.710     .0010   19.291   18.667
101749   78.5212916667      78.5213019  -40.0384444444     -40.0384188     .0016  3300.910  3596.906    15.996     .0021      .628     .0032    15.368     .0024   16.166   15.327
 61264   78.5104166667      78.5104124  -40.0606666667     -40.0606094     .0034  3900.887  1999.115    14.686     .0011      .841     .0016    13.845     .0012   14.931   13.808
108124   78.5133750000      78.5133425  -40.0359166667     -40.0358540     .0040  3739.693  3781.531    18.149     .0057      .665     .0085    17.484     .0063   18.332   17.443
 79283   78.5486250000      78.5486196  -40.0345555556     -40.0345076     .0028  1794.992  3878.383    15.838     .0150      .813     .0186    15.025     .0110   16.073   14.988
 61859   78.5095000000      78.5095556  -40.0559444444     -40.0559308     .0027  3948.168  2335.957    20.790     .0210      .550     .0237    20.240     .0110   20.930   20.197
 55048   78.5197916667      78.5197945  -40.0486944444     -40.0486819     .0008  3383.947  2857.958    16.576     .0090      .421     .0716    16.155     .0710   16.663   16.112
 49307   78.5266730000      78.5266597  -40.0472600000     -40.0472328     .0017  3005.569  2962.313    19.815     .0460      .587     .0863    19.228     .0730   19.970   19.186
 58428   78.5150416667      78.5150461  -40.0505000000     -40.0505007     .0002  3645.637  2726.982    18.594     .0070      .221     .0086    18.373     .0050   18.619   18.330
 61859   78.5095000000      78.5095556  -40.0559444444     -40.0559308     .0027  3948.168  2335.957    20.790     .0210      .550     .0237    20.240     .0110   20.930   20.197
 83999   78.5408333333      78.5407431  -40.0446666667     -40.0446502     .0042  2229.315  3148.201    16.693     .0029      .696     .0043    15.997     .0031   16.888   15.957
 91267   78.5321666667      78.5321533  -40.0338888889     -40.0339005     .0009  2702.719  3922.233    17.373     .0040      .534     .0062    16.839     .0047   17.507   16.797
